fuente;profesion;contrato;jornada;descripcion;empresa;salario;Ciudad;Nivel educativo;años de experiencia;Fecha_Publicacion
1;Supervisor logistico;Tiempo Completo;null;Importante empresa del sector manufacturero requiere Ingeniero industrial o Administrador de Empresas con minimo de un año coordinando procesos logistico y procesos de producción manejo de cadena de abastecimiento Salario: $1200000 a 1600000 dependiendo del perfil Horario: horario laboral de lunes a viernes de 07:00 am a las 05:00 pm y sábados de 07am a 11:00am;null;1.2;Mosquera; Carrera Profesional;1;9/07/2019
1;Ingeniero Geotecnista;Contrato a término fijo;Tiempo Completo;"GEOTECNISTA -INGENIERO CON ESPECIALIZACION EN GEOTECNIA Experiencia de 5 años ESPECÍFICOS en la ejecución de estudios de suelos; estabilidad de laderas. estructuras de contención. excavaciones. fundaciones y todo lo relacionado con el diseño geotécnico para obras civiles. Soportable. si no cumple con lo anterior por favor no se postule DISPONIBILIDAD INMEDIATA SALARIO: 5000000";ARREDONDO MADRID INGENIEROS CIVILES SAS;5;Medellín; Especialización;6;4/07/2019
1;ingeniero desarrollo senior / inmediato;Contrato de Obra o labor;Tiempo Completo;"TYS te está invitando en la siguiente oportunidad de trabajo especial para ti"" Importante empresa requiere personal profesional Ingeniero Mecánico con experiencia de 5 años en industrias de autopartes. electrodomésticos. naval. desarrollo de proyectos. productos plásticos de inyección y soplado Conocimientos profundos en DISEÑO DE MOLDES. MATERIALES PLÁSTICOS. INDUSTRIALIZACIÓN DE PRODUCTO. GESTIÓN DE PROYECTOS Y COSTOS DE PRODUCTO Manejo Experto de SOLID EDGE. Deseable Inglés intermedio y Deseable Especialización en Ing Plásticos. Diseño de Maquinas. Ing Mecánica Horario: Lunes a Viernes 7:00 am - 5:00 pm Salario: de acuerdo con perfil $ 4000000 - 5000000 millones GRACIAS POR TU ATENCIÓN ESTAREMOS EN COMUNICACIÓN CONTIGO";T&S TEMSERVICE SAS;5;Bogotá; Carrera Profesional;5;13/07/2019
1;Urgente / Ingeniero ambiental / Postgrado / 3 años de exp;Contrato de Obra o labor;Tiempo Completo;Prestigiosa compañía multinacional del sector manufactura. requiere para su equipo de trabajo INGENIERO AMBIENTAL. especialista en HSE con minimo 3 años de experiencia en el cargo. HORARIO: Lunes a Viernes de 8:00am a 5:00pm. SALARIO: $De acuerdo a aspiración salarial INTERESADOS APLICAR A LA OFERTA CON HOJA DE VIDA ACTUALIZADA;MANPOWER PROFESSIONAL LTDA;null;Bogotá; Especialización;3;10/07/2019
1;Practicante Ingeniera Industrial;Contrato de aprendizaje;Tiempo Completo;Importante empresa del sector avícola está en la búsqueda de practicantes de último semestre de Ingeniera Industrial con el fin de realizar su practica en el Departamento de Gestión Humana apoyando el área de Seguridad y Salud en el trabajo;MULTIEMPLEOS SA;null;Bucaramanga; Carrera Profesional;0;8/07/2019
1;Ingeniero senior Desarrollador de Software;Contrato a término indefinido;Tiempo Completo;"Somos una empresa que está cambiando la manera de ver el software y hardware en las industrias del gas. agua. energía y petróleo. a través de innovadores productos y plataformas que buscan no solamente satisfacer las necesidades de nuestros clientes. sino también modernizar. facilitar y automatizar sus procesos Queremos invitarte a hacer parte de Nimocom Ltda. una compañía con presencia en Norteamérica y América Latina. que cuenta con una experiencia de más de 28 años en el sector Este. más que un trabajo es una oportunidad de hacer parte del crecimiento de una empresa tecnológica que se preocupa por sus empleados; un lugar en el que puedes crecer profesionalmente y aportar tus conceptos innovadores para contribuir a nuestra familia Actualmente Nos encontramos en la búsqueda de Ingeniero de Sistemas. preferiblemente que posea conocimientos avanzados y certificados en bases de datos MS SQL Server y/o desarrollo de software con Net Competencias técnicas: Conocimientos en diseño y desarrollo de software con énfasis en diseño de base de datos y desarrollo de procedimientos almacenados para MS SQL Server Desarrollo de software bajo plataformas Net (Web Services/WinForms) Principales Funciones: Apoyar en las actividades relacionadas a la planificación de proyectos de software (análisis de viabilidad. estimaciones de tiempo. definición de estrategias) Diseñar y desarrollar los módulos de software asignados por el líder de proyecto Realizar las pruebas de unidad e integración de cada módulo de software asignado para garantizar la calidad del software de la compañía Reportar en los avances de cada paquete de trabajo asignado por el líder de proyecto y los riesgos de incumplimiento de tiempos o alcance Ejecutar actividades de soporte técnico que involucren desarrollo de software Competencias principales: Compromiso con los objetivos. Trabajo en equipo y disposición para el aprendizaje Por favor si no cumple con el perfil requerido no postularse en la oferta ya que no se tendrá en cuenta en el proceso";NIETO MORALES COMUNICACIONES LTDA;3.73;Barranquilla; Carrera Profesional;2;6/06/2019
1;Ingeniero Puesta en Marcha PEM MPLS;Contrato de Obra o labor;Tiempo Completo;Profesional en Ingenierías asociadas con telecomunicaciones. telemática. eléctrica. electrónica y afines Cisco. 4 niveles Con experiencia Mínima de Un Año programando y configurando los equipos de las plataformas Adsl. Gshdsl. IP- DSLAM _ ALCATEL. HUAWEI Metro Ethernet HUAWEI SDH SDH-NG_ ECI. ERICSSON. HUAWEI TDM _ ALCATEL-NEWBRIDGE Conmutación de datos: FR _ LUCENT. PSAX ATM _ ALCATEL. HUAWEI. LUCENT. CISCO IP_DSLAM HUAWEI MPLS _ JUNIPER.CISCO Protocolos de comunicación de datos (Frame relay. ATM. TCP/IP. MPLS). operación y administración del sistema de gestión de redes basadas en Open View. Unix. Linux. Solaris Para laborar con Empresa de Telecomunicaciones en el cargo INGENIERO PUESTA EN MARCHA PEM MPLS realizar actividades de puesta en marcha para clientes corporativos Se ofrece salario de $ 1643600 + Prestaciones de ley + Bonificación por Productividad $ 703100 + Horarios de Oficina;OCUPAR TEMPORALES SA;2.3;Bogotá; Carrera Profesional;1;9/07/2019
1;Ingeniero de proyectos Yopal;Contrato de Obra o labor;Tiempo Completo;Importante compañía de seguridad electrónica requiere para su equipo de trabajo Ingeniero de proyectos en la ciudad de Yopal. para contrato por 6 meses Indispensable que resida en Yopal o provincias aledañas Debe ser ingeniero eléctrico o electrónico. con experiencia certificada de 5 años o más en planeación y coordinación en proyectos de seguridad electrónica Debe contar con matricula profesional vigente Su cargo tendrá dedicación 100% a ejecución de actividades rutinarias técnicas y manejo de personal. cortes de obra. documentación y archivo del proyecto Proyecto: Sede de investigación criminal de la policia en la ciudad de Yopal/Casanare Salario: $2000000 + prestaciones de ley Horario: Lunes a viernes de 7:00 am a 6:00 pm Sábados: 8:00 am a 12:00 pm con disponibilidad para horarios adicionales si el proyecto lo exige;SUMINISTRAMOS RECURSOS HUMANOS TEMPORALES SUMITEMP SAS;2;Yopal; Carrera Profesional;5;11/07/2019
1;Ingeniero Electromecanico;Contrato a término fijo;Tiempo Completo;Importante multinacional requiere para su equipo de trabajo personal profesional en electromecánica.mecatronica o automatización y control industrial. experiencia en diseño y ejecución del plan de ventas en su zona de trabajo. alcanzar metas financieras propuestas. nivel de ingles 80% escrito. hablado y lectura. disponibilidad para viajar visa americana vigente. experiencia en venta industrial;EFICACIA;2.5;Bogotá; Carrera Profesional;3;9/07/2019
1;Ingeniero Electricista;Contrato de Obra o labor;Tiempo Completo;Realizar interventoría o supervisión a proyectos de instalación de luminarias solares fotovoltaicas en varias regiones de Antioquia (El Bagre. Segovia. La Pintada. Apartadó) Apoyar en la planificación. ejecución y control del plan de trabajo Dirigir la ejecución del proyecto relacionado con el proyecto mencionado en el objetivo principal del cargo Realizar la revisión de los puntos de intervención en su alcance y tiempo contractual Cumplir las demás responsabilidades que le sean asignadas por su jefe inmediato y que por la naturaleza de cargo le correspondan Debe estar 100% del tiempo en las regiones donde se ejecutan los proyectos en Antioquia (El Bagre. Segovia. La Pintada. Apartadó) El horario es de lunes a sábado Adiciona al salario se dan viáticos ES INDISPENSABLE QUE TENGA MINIMO DOS AÑOS DE EXPERIENCIA EN PROYECTOS DE ILUMINACION FOTOVOLTAICA Y QUE TENGA DISPONIBILIDAD DE VIAJAR A LAS ZONAS MENCIONADAS;ENECON SAS;2.5;Medellín; Carrera Profesional;2;10/07/2019
1;Ingeniero de desarrollo;Contrato a término indefinido;Tiempo Completo;Newshore. empresa de ámbito internacional especializada en el desarrollo de servicios y soluciones IT para el sector de las aerolíneas low-cost. precisa incorporar nuevos desarrolladores de software a su plantilla en las oficinas de Manizales La posición es permanente y estable Se requiere a los candidatos la participación y liderazgo en proyectos de desarrollo de software. participando en la definición y desarrollo de soluciones IT en un equipo altamente exigente y distribuido entre diferentes países Son necesarios conocimientos de desarrollo de software. capacidad analítica y orientación a resultados El perfil debe cumplir un mínimo de 3 años de experiencia en el sector y formación en el terreno de la ingeniería de sistemas. administración de sistemas informáticos o afines A cambio se ofrece ser parte de una empresa enfocada a la excelencia tecnológica. participar en equipos y proyectos de alto rendimiento y de carácter internacional. plan de mentoring para el completo desarrollo profesional y amplios beneficios sociales Las habilidades mínimas requeridas para optar al puesto son: * Programación orientada a objetos en lenguaje C# * Microsoft Net Framework * Visual Studio 2010 o superior * Base de datos sobre SQL server 2008 o superior * Manejo de patrones * Desarrollo en ambiente web (ASP Net MVC Framework. HTML5. JavaScript. CSS) * Desarrollo con Modelo Vista Controlador Adicionalmente. se valorarán positivamente conocimientos en: * Linq * Jquery * Windows services * Web services * Test unitarios * Entity Framework * Desarrollo a n-capas * Inglés (nivel medio / avanzado) Ofrecemos beneficios adicionales como: * Medicina prepagada * Bonos sodexo alimentación * Bonificación de transporte IMPORTANTE: Si no cumple con el perfil descrito. por favor abstenerse de aplicar a la oferta;NEWSHORE SERVICIOS GLOBALES;null;Manizales; Carrera Profesional;2;8/07/2019
1;Ingeniero administrativo o electrónico;Contrato a término fijo;Tiempo Completo;Realización de servicios y de informes de las actividades propias de la empresaCumplir las funciones asignadas No se requiere que tenga experiencia propiamente en algo Solo se tendrán en cuenta las hojas de vida con la profesión indicada en el titulo de la oferta;ZOSER SAS;1;Medellín; Carrera Profesional;1;11/07/2019
1;tecnologo o ingeniero de sistemas;Contrato de Obra o labor;Tiempo Completo;Ayudar con la entrega de servicios locales de ITS. cumplir con los estándares de TI del Grupo. mantener y administrar la infraestructura de TI y todos los sistemas de TI requeridos en el país o países. entregar y administrar equipos y soporte / servicios para el usuario final. la administración disciplinaria y fiscal de todos los miembros del personal de ITS;EXELA SERVICIOS TEMPORALES SA;null;Guarne; Carrera tecnológica;3;null
1;Ingenieros Electricista titulado;Tiempo Completo;null;"Requerimos INGENIERO ELECTRICISTA titulado. para el desarrollo de proyectos de DISEÑO en redes eléctricas comerciales. levantamiento de información en obra. cableado estructurado y de comunicaciones. cantidades de obra. elaboración de especificaciones eléctricas. con capacidad de gestión; responsable para cumplir requerimientos en documentos y firma de planos para RETIE y/o RETILAP * Indispensable manejo de AutoCAD y/o Revit * Persona responsable. dinámica y comprometida * Contrato directo e indefinido de tiempo completo * Salario a convenir según experiencia";null;null;Bogotá; Carrera Profesional;5;4/07/2019
1;ingeniero de desarrollo;Contrato a término fijo;Tiempo Completo;"Importante empresa del Sector Contact Center con 24 años de experiencia. requiere INGENIERO DE DESARROLLO. REQUISITOS. SER Profesional en Ingeniería de Sistemas. Electrónica. Telecomunicaciones o afín O MINIMO 8 SEMESTRE de los mismas carreras. con mínimo un año de experiencia en diseño y desarrollo de soluciones de Tecnología para Contac Center Desarrollo de mecanismos para la automatización de procesos en el área de desarrollo Realizar la exploración tecnológica en todas sus dimensiones: diseño. desarrollo e implementación INDISPENSABLE CONOCIMIENTO EN Java. Net. SQL Server. Oracle. HTML e ingeniería de Software y bases de datos Desarrollo de aplicaciones en  Net. PHP. MySQL. MS-SQL. Apache HORARIOS: Lunes a Viernes 8:00am a 6:00pm; Salario $2554000 + variable 222000 + todas las prestaciones de leypostula tu hoja de vida";OUTSOURCING SERVICIOS INFORMATICOS S A OUTSOURCING S A;2.55;Bogotá; Carrera Profesional;1;28/05/2019
1;Ingeniero Desarrollador;Contrato de Obra o labor;Tiempo Completo;Reconocida compañía requiere para su equipo de trabajo profesional en Ingeniería de sistemas o afines con experiencia reciente mínima de 1 año en desarrollo. pruebas técnicas y funcionales de aplicaciones web y/o móviles Experiencia en: CSS3. HTLML5. JavaScript. JQuery. PHP Salario: $ 4088207 + prestaciones de ley Horario de 48 horas semanales Contrato Obra o Labor Indispensable contar con tarjeta profesional y certificaciones laborales con funciones ANTES DE APLICAR VALIDE QUE SU HOJA DE VIDA ESTE ACTUALIZADA Y QUE CUENTE CON TODA INFORMACIÓN REQUERIDA EN CUANTO A LA EXPERIENCIA;GENTE OPORTUNA SAS;4.08;Bogotá; Carrera Profesional;1;8/07/2019
1;Ingenieros en Mecanica o Industrial;Contrato de Obra o labor;Tiempo Completo;Importante empresa del sector busca urgente profesional en ingeniería mecánica o industrial con experiencia en mantenimiento industrial o hidráulica. mínimo un año de experiencia en labores de mantenimiento de básico: a convenir + más prestaciones de ley. para laborar de L-V 7AM A 5PM SÁBADO MEDIO DÍA Lugar de Trabajo: Tibito Cundinamarca ( Vía Tocancipa - zipaquira);SUMMAR TEMPORALES SAS;2;Gachancipá; Carrera Profesional;1;12/07/2019
1;Ingeniero de control de costos de obra;Contrato de Obra o labor;Tiempo Completo;Ingeniero civil con cinco años de experiencia general de los cuales tres años deben ser en control de costos y rendimientos en obra. cortes de obra y valorizaciones Dominio del Software Excel Experiencia en proyectos de carreteras por valor igual o mayor a los 20 millones de soles;H B ESTRUCTURAS METALICAS S A S;null;Bogotá; Carrera Profesional;5;10/07/2019
1;Ingeniero de Proyectos Con experiencia;Contrato a término fijo;Tiempo Completo;Ingeniero (a) Mecánico (a) Titulado con amplia experiencia en sistemas de aire acondicionado. quien sera el encargado de apoyar en la elaboración y seguimiento de cotizaciones. licitaciones. elaboración de diseños. elaboración de presupuestos. realizar cortes de obra. cronogramas de obra. liquidación de obra. manejo documental relacionados a este cargo;AIR FLOW SAS;2;Bogotá; Carrera Profesional;2;11/06/2019
